Month,Title,Author,Publisher,Publish_Date
10,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013.11.15
10,채식주의자(개정판),한강,창비,2022.03.25(종이책 2022년 03월 28일)
10,희랍어 시간,한강,문학동네,2011.11.10
10,소년이 온다,한강,창비,2014.05.19(종이책 2014년 05월 19일)
10,트렌드 코리아 2025,김난도 외,미래의창,2024.10.07
10,디 에센셜: 한강(무선 보급판),한강,문학동네,2023.06.01
10,작별하지 않는다,한강,문학동네,2021.09.27(종이책 2021년 09월 09일)
10,넥서스,유발 하라리,김영사,2024.10.11
10,여수의 사랑,한강,문학과지성사,2018.11.09
10,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21
10,모순,양귀자,쓰다,2013.04.01
10,시대예보: 호명사회,송길영,교보문고,2024.09.25
10,검은 사슴,한강,문학동네,2017.12.20
10,작은 땅의 야수들(리커버 무선판),김주혜,다산책방,2023.06.19
10,어른의 행복은 조용하다,태수,페이지2북스,2024.11.04
10,생각의 연금술,제임스 알렌 외,포레스트북스,2024.09.25
10,내 여자의 열매,한강,문학과지성사,2018.11.09
10,그대의 차가운 손,한강,문학과지성사,2002.01.18
10,박태웅의 AI 강의 2025,박태웅,한빛비즈,2024.09.30
10,바람이 분다 가라,한강,문학과지성사,2010.02.26
10,노랑무늬영원,한강,문학과지성사,2018.11.09
10,한강: 회복하는 인간(Convalescence),한강,아시아,2013.06.15
10,고전이 답했다 마땅히 살아야 할 삶에 대하여(나만의 책 만들기 에디션),고명환,라곰,2024.08.26
10,흰,한강,문학동네,2018.05.10(종이책 2018년 04월 25일)
10,머니 트렌드 2025,정태익 외,북모먼트,2024.10.02
10,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2024.08.19
10,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,2021.12.15
10,대도시의 사랑법,박상영,창비,2019.06.28
10,이중 하나는 거짓말,김애란,문학동네,2024.08.27
10,희랍어 시간,한강,문학동네,2012.05.23(종이책 2011년 11월 10일)
10,눈물상자,한강,문학동네,2008.05.22
10,삶을 견디는 기쁨(리커버:K),헤르만 헤세,문예춘추사,2024.02.28
10,불변의 법칙,모건 하우절,서삼독,2024.02.28
10,ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18
10,압도하라 타이거즈,오효주 외,브레인스토어,2024.11.01
10,ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18
10,영원한 천국,정유정,은행나무,2024.08.28
