Month,Rank,Title,Author,Publisher,Sales Point,Publication Month
3월,3,리틀 라이프 2,한야 야나기하라,시공사,"52,687",2016년 6월
3월,4,맡겨진 소녀,클레어 키건,다산책방,"86,363",2023년 4월
3월,5,삼체 1~3 세트 - 전3권,류츠신,자음과모음,"37,575",2020년 7월
3월,6,원도,최진영,한겨레출판,세일즈 포인트 정보 없음,2024년 3월
3월,7,다 하지 못한 말,임경선,토스트,"8,103",2024년 3월
3월,8,모순,양귀자,쓰다,"165,396",2013년 4월
3월,11,샤이닝,욘 포세,문학동네,"5,962",2024년 3월
3월,13,오로라,최진영,위즈덤하우스,"11,597",2024년 2월
3월,14,구의 증명,최진영,은행나무,"70,465",2023년 4월
3월,15,가여운 것들,앨러스데어 그레이,황금가지,"10,473",2023년 4월
3월,16,8월에 만나요,가브리엘 가르시아 마르케스,민음사,세일즈 포인트 정보 없음,2024년 3월
3월,17,삼체 1부 : 삼체문제,류츠신,자음과모음,"22,163",2022년 2월
3월,18,듄 신장판 1~6 세트 - 전6권,프랭크 허버트,황금가지,"14,137",2021년 1월
3월,20,인간 실격,다자이 오사무,민음사,"81,492",2004년 5월
3월,21,소설 보다 : 봄 2024,김채원,문학과지성사,"6,117",2024년 3월
3월,22,세상의 마지막 기차역 (리커버 에디션),무라세 다케시,모모,"54,758",2022년 5월
3월,23,덧없는 양들의 축연,요네자와 호노부,엘릭시르,"2,612",2024년 3월
3월,24,아주 희미한 빛으로도,최은영,문학동네,"79,454",2023년 8월
3월,25,듄 신장판 1,프랭크 허버트,황금가지,"11,955",2021년 1월
3월,26,파과,구병모,위즈덤하우스,세일즈 포인트 정보 없음,2018년 4월
3월,27,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),"8,866",2024년 3월
3월,28,마지막 마음이 들리는 공중전화,이수연,클레이하우스,"10,972",2024년 1월
3월,29,사라진 것들,앤드루 포터,문학동네,"25,970",2024년 1월
3월,30,메리골드 마음 사진관,윤정은,북로망스,"19,193",2024년 1월
3월,31,데미안 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,"93,420",2017년 1월
3월,32,정욕,아사이 료,리드비,"9,530",2024년 3월
3월,33,도시와 그 불확실한 벽,무라카미 하루키,문학동네,세일즈 포인트 정보 없음,2023년 9월
3월,34,로기완을 만났다 (리마스터판),조해진,창비,"7,110",2024년 2월
3월,35,홍학의 자리,정해연,엘릭시르,"45,113",2021년 7월
3월,36,직장 상사 악령 퇴치부,이사구,황금가지,"4,667",2024년 2월
3월,37,불편한 편의점 (벚꽃 에디션),김호연,나무옆의자,"186,097",2021년 4월
3월,38,법정유희,이가라시 리쓰토,리드비,세일즈 포인트 정보 없음,2024년 3월
3월,39,메리골드 마음 세탁소 (30만 부 기념 한정 플라워 에디션),윤정은,북로망스,"35,122",2023년 3월
