월,순위,제목,저자,출판사,판매지수,출판 년월
7,35,"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,"판매지수 1,986",2021년 12월
7,36,나의 X 오답노트 1,김사라,모모,"판매지수 1,338",2024년 05월
7,37,미시감 : 낯선사랑,심수현,창피,판매지수 192,2024년 06월
7,38,더 캐슬 1~3 세트,진소예,에이템포미디어,판매지수 786,2023년 07월
7,39,옷소매 붉은 끝동 세트,강미강,청어람,"판매지수 1,680",2022년 06월
7,40,낙원의 이론 2,정선우,파란 (파란미디어),"판매지수 2,100",2019년 07월
7,41,그것은 벚꽃 같은 사랑이었다,히로세 미이,제우미디어,"판매지수 2,724",2019년 03월
7,42,말하고 싶은 비밀 Vol.2,사쿠라 이이요,모모,"판매지수 15,480",2024년 07월
7,43,이토록 완벽한 실종,줄리안 맥클린,해피북스투유,"판매지수 3,600",2023년 12월
7,44,"빨강, 파랑, 어쨌든 찬란",케이시 맥퀴스턴,살림출판사,"판매지수 1,758",2021년 07월
7,45,낙원의 이론 4,정선우,파란 (파란미디어),"판매지수 2,058",2019년 07월
7,46,낙원의 이론 1,정선우,파란 (파란미디어),"판매지수 2,526",2019년 07월
7,47,시간의 계단 2,주영하,블라썸,"판매지수 2,544",2019년 02월
7,48,규장각 각신들의 나날 1,정은궐,파란 (파란미디어),"판매지수 1,092",2009년 07월
7,49,나의 X 오답노트 2,김사라,모모,"판매지수 1,272",2024년 05월
7,50,"홈, 비터 홈",심윤서,가하,"판매지수 1,506",2019년 11월
7,51,낙원의 이론 3,정선우,파란 (파란미디어),"판매지수 1,974",2019년 07월
7,52,규장각 각신들의 나날 2,정은궐,파란 (파란미디어),"판매지수 1,152",2009년 07월
7,53,브릴리언트 블루,함지성,도서출판 잔,판매지수 336,2024년 06월
7,54,내가 사랑했던 모든 너에게,오토노 요모지,모모,"판매지수 1,758",2022년 10월
7,55,Say yes all blue 세이 예스 올 블루,김제이,YOUNGCOM(영컴),"판매지수 1,422",2024년 04월
7,56,리마인더스 오브 힘,콜린 후버,미래지향,"판매지수 1,344",2024년 04월
7,57,벽사아씨전,박에스더,안전가옥,"판매지수 1,344",2023년 09월
7,58,그 여름의 끝에 네가 죽으면 완벽했기 때문에,샤센도 유키,토마토출판사,"판매지수 1,740",2023년 09월
7,59,사민의 남자 2,류재현,마롱,판매지수 276,2023년 08월
7,60,사민의 남자 1,류재현,마롱,판매지수 264,2023년 08월
7,61,재혼황후 8 + 미공개 외전 세트,알파타르트,해피북스투유,"판매지수 2,160",2022년 12월
7,62,재혼황후 7,알파타르트,해피북스투유,"판매지수 1,428",2022년 04월
7,63,설렘의 기억,서은수,가하,판매지수 642,2020년 09월
7,64,나는 너에게 10년 치의 『    』을 전하고 싶어,아마노 아타루,제우미디어,"판매지수 2,172",2019년 10월
