월,순위,제목,저자,출판사,판매지수,출판 년월
3,40,베러티,콜린 후버,미래지향,"판매지수 3,372",2022년 06월
3,41,양들의 침묵,토머스 해리스,나무의철학,"판매지수 3,684",2023년 02월
3,42,꼭두각시 살인사건,다니엘 콜,북플라자,"판매지수 2,826",2021년 02월
3,43,다빈치 코드 2,댄 브라운,문학수첩,"판매지수 2,196",2013년 12월
3,44,검은 집,기시 유스케,창해(새우와 고래),"판매지수 3,972",2004년 08월
3,45,조각상 살인사건,다니엘 콜,북플라자,"판매지수 1,560",2022년 01월
3,46,레드클로버,마사키 도시카,허밍북스,"판매지수 1,662",2024년 02월
3,47,완전 부부 범죄,황세연,북다,"판매지수 1,068",2024년 01월
3,48,모킹제이,수잔 콜린스,북폴리오,"판매지수 2,382",2011년 04월
3,49,프랑켄슈타인,메리 셸리,휴머니스트,"판매지수 1,509",2022년 02월
3,50,카인의 오만,나카야마 시치리,블루홀6,"판매지수 1,146",2024년 04월
3,51,시간을 거슬러 간 나비,듀나,읻다,판매지수 642,2024년 02월
3,52,6시 20분의 남자,데이비드 발다치,북로드,"판매지수 1,620",2023년 09월
3,53,캣칭 파이어,수잔 콜린스,북폴리오,"판매지수 2,652",2010년 09월
3,54,악의 사냥,크리스 카터,북로드,판매지수 852,2023년 08월
3,55,뉴문,스테프니 메이어,북폴리오,"판매지수 2,352",2008년 07월
3,56,명탐정 코난 14,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,118",1997년 07월
3,57,명탐정 코난 2,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,834",2020년 08월
3,58,퇴마록 세계편 3,이우혁,엘릭시르,"판매지수 1,428",2011년 12월
3,59,명상 살인 2,카르스텐 두세,세계사,판매지수 660,2022년 01월
3,60,망각의 도시,김동식,현대문학,판매지수 726,2023년 10월
3,61,그 환자,재스퍼 드윗,시월이일,"판매지수 1,650",2020년 08월
3,62,러브크래프트 전집 세트,H.P. 러브크래프트,황금가지,"판매지수 1,464",2015년 11월
3,63,명탐정 코난 13,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 1,896",1997년 05월
3,64,명상 살인 3,카르스텐 두세,세계사,판매지수 678,2022년 04월
3,65,그렇게 할 수밖에,최도담,네오픽션,판매지수 918,2022년 12월
3,66,귀신나방,장용민,엘릭시르,"판매지수 1,368",2018년 09월
3,67,퇴마록 세계편 2,이우혁,엘릭시르,"판매지수 1,296",2011년 12월
3,68,퇴마록 세계편 1,이우혁,엘릭시르,"판매지수 1,488",2011년 12월
3,69,명탐정 코난 11,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,142",1997년 08월
3,70,명탐정 코난 15,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,070",1997년 08월
3,71,신을 죽인 여자들,클라우디아 피녜이로,푸른숲,"판매지수 2,586",2023년 12월
3,72,메스를 든 사냥꾼,최이도,해피북스투유,판매지수 942,2023년 11월
3,73,구원의 날,정해연,시공사,"판매지수 1,182",2023년 08월
3,74,페러그린과 이상한 아이들의 집,랜섬 릭스,폴라북스,판매지수 924,2011년 11월
3,75,명탐정 코난 12,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 2,154",1997년 02월
3,76,빨간 집,리브 앤더슨,그늘,판매지수 354,2024년 03월
3,77,복행 마을 생활 수칙,숫노루TV,북오션,판매지수 882,2023년 12월
3,78,선택의 날,정해연,시공사,"판매지수 1,176",2023년 08월
3,79,아무도 모를 것이다,정보라,퍼플레인(갈매나무),판매지수 492,2023년 01월
3,80,봉제인형 살인사건 시리즈 소장본 박스 세트,다니엘 콜,북플라자,"판매지수 1,572",2022년 12월
3,81,엔드게임 살인사건,다니엘 콜,북플라자,"판매지수 1,818",2022년 03월
3,82,귀신이 오는 밤,배명은,구픽,판매지수 246,2022년 02월
3,83,너는 갔어야 했다,다니엘 켈만,민음사,판매지수 426,2019년 02월
