월,순위,제목,저자,출판사,판매지수,출판 년월
7,100,덧없는 양들의 축연,요네자와 호노부,엘릭시르,"판매지수 2,058",2024년 03월
8,1,당신이 누군가를 죽였다,히가시노 게이고,북다,"판매지수 139,488",2024년 07월
8,2,백설공주에게 죽음을 (특별판),넬레 노이하우스,북로드,"판매지수 39,837",2024년 05월
8,3,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,044",2024년 06월
8,4,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월
8,5,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
8,6,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월
8,7,돌이킬 수 있는,문목하,아작,"판매지수 21,552",2018년 12월
8,8,가연물 可燃物,요네자와 호노부,리드비(READbie),"판매지수 10,740",2024년 08월
8,9,적산가옥의 유령,조예은,현대문학,"판매지수 12,330",2024년 06월
8,10,오렌지와 빵칼,청예,허블,"판매지수 10,533",2024년 07월
8,11,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월
8,12,카지노,김진명,새움,"판매지수 20,130",2022년 12월
8,13,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월
8,14,걷는 망자,미쓰다 신조,리드비(READbie),"판매지수 5,136",2024년 07월
8,15,라플라스의 마녀,히가시노 게이고,현대문학,"판매지수 18,531",2016년 01월
8,16,13.67,찬호께이,한스미디어,"판매지수 12,468",2023년 01월
8,17,코너스톤 셜록 홈즈 전집,아서 코난 도일,코너스톤(도서),"판매지수 17,406",2016년 01월
8,18,2인조,정해연,엘릭시르,"판매지수 3,912",2024년 07월
8,19,십계,유키 하루오,블루홀6,"판매지수 6,036",2024년 07월
8,20,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월
8,21,"아서 코난 도일, 선상 미스터리 단편 컬렉션",아서 코난 도일,센텐스,"판매지수 3,036",2024년 08월
8,22,마력의 태동,히가시노 게이고,현대문학,"판매지수 9,126",2019년 01월
8,23,제노사이드,다카노 가즈아키,황금가지,"판매지수 10,833",2012년 06월
8,24,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월
8,25,활자잔혹극,루스 렌들,북스피어,"판매지수 7,092",2024년 06월
8,26,용의자들,정해연,위즈덤하우스,"판매지수 8,340",2024년 05월
8,27,귀매,유은지,문학동네,"판매지수 2,538",2024년 07월
8,28,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월
8,29,홀리,스티븐 킹,황금가지,"판매지수 6,810",2024년 08월
8,30,방주,유키 하루오,블루홀6,"판매지수 11,517",2023년 02월
8,31,추리소설가의 살인사건,히가시노 게이고,소미미디어,"판매지수 4,752",2024년 07월
8,32,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월
8,33,킬에이저,신아인,한끼,"판매지수 1,914",2024년 08월
8,34,오리엔트 특급 살인,애거사 크리스티,황금가지,"판매지수 12,972",2013년 12월
8,35,에도가와 란포 기담집,에도가와 란포,부커,"판매지수 2,238",2024년 07월
8,36,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월
8,37,곰탕 1,김영탁,arte(아르테),"판매지수 8,796",2018년 03월
8,38,십각관의 살인,아야츠지 유키토,한스미디어,"판매지수 3,618",2005년 07월
8,39,그리고 아무도 없었다,애거사 크리스티,해문출판사,"판매지수 8,622",2002년 05월
8,40,살인자 외,어네스트 밀러 헤밍웨이,코너스톤(도서),"판매지수 6,582",2017년 06월
8,41,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),"판매지수 24,054",2024년 03월
8,42,곰탕 2,김영탁,arte(아르테),"판매지수 6,690",2018년 03월
8,43,유골에 대한 기이한 취향,엘리스 피터스,북하우스,"판매지수 2,004",2024년 08월
8,44,귀우,이다모,아프로스미디어,판매지수 816,2024년 08월
8,45,우중괴담,미쓰다 신조,북로드,"판매지수 4,638",2022년 11월
8,46,잘린 머리처럼 불길한 것,미쓰다 신조,비채,"판매지수 2,826",2010년 08월
8,47,돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,"판매지수 6,186",2022년 12월
8,48,어두운 물,전건우,&(앤드),"판매지수 2,718",2024년 06월
8,49,명탐정 코난 2,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,834",2020년 08월
8,50,망내인,찬호께이,한스미디어,"판매지수 3,828",2023년 06월
8,51,명탐정 코난 3,아오야마 고쇼,서울미디어코믹스(서울문화사),"판매지수 3,852",1997년 02월
