월,순위,제목,저자,출판사,판매지수,출판 년월
1,46,아르테미스,앤디 위어,알에이치코리아(RHK),"판매지수 6,282",2021년 05월
1,47,듄 신장판 2,프랭크 허버트,황금가지,"판매지수 6,888",2021년 01월
1,48,고양이 1,베르나르 베르베르,열린책들,"판매지수 2,352",2018년 05월
1,49,파운데이션 완전판 세트,아이작 아시모프,황금가지,"판매지수 3,816",2013년 10월
1,50,해저 2만리,쥘 베른,작가정신,"판매지수 2,334",2009년 09월
1,51,"아이, 로봇",아이작 아시모프,우리교육,"판매지수 6,327",2008년 07월
1,52,디어 마이 라이카,김연미,토마토출판사,판매지수 978,2024년 01월
1,53,문명 2,베르나르 베르베르,열린책들,"판매지수 2,154",2021년 05월
1,54,행성 2,베르나르 베르베르,열린책들,"판매지수 1,584",2022년 05월
1,55,"땡스 갓, 잇츠 프라이데이",심너울,안전가옥,"판매지수 1,782",2020년 01월
1,56,목소리를 드릴게요,정세랑,아작,"판매지수 4,353",2020년 01월
1,57,나는 입이 없다 그리고 나는 비명을 질러야 한다,이수현,아작,"판매지수 2,760",2017년 07월
1,58,은하수를 여행하는 히치하이커를 위한 안내서 2,더글러스 애덤스,책세상,"판매지수 4,299",2004년 12월
1,59,행성 1,베르나르 베르베르,열린책들,"판매지수 1,572",2022년 05월
1,60,므레모사,김초엽,현대문학,"판매지수 2,544",2021년 12월
1,61,7인의 집행관,김보영,폴라북스,"판매지수 1,440",2023년 07월
1,62,노 휴먼스 랜드,김정,창비,"판매지수 3,462",2023년 07월
1,63,문명 1,베르나르 베르베르,열린책들,"판매지수 1,836",2021년 05월
1,64,해피 메모리 투게더,유파랑,고즈넉이엔티,판매지수 480,2024년 01월
1,65,악의 유전학,임야비,쌤앤파커스,"판매지수 1,332",2023년 09월
1,66,소심한 사람들만 남았다,김이환,북다,"판매지수 1,566",2023년 06월
1,67,종소리,닐 셔스터먼,열린책들,"판매지수 2,334",2023년 02월
1,68,듄 신장판 3,프랭크 허버트,황금가지,"판매지수 3,264",2021년 01월
1,69,스코치 트라이얼,제임스 대시너,문학수첩,"판매지수 2,541",2012년 07월
1,70,잔류 인구,엘리자베스 문,푸른숲,판매지수 852,2021년 10월
1,71,기억 1,베르나르 베르베르,열린책들,"판매지수 1,668",2020년 05월
1,72,신들은 죽임당하지 않을 것이다,켄 리우,황금가지,판매지수 936,2023년 02월
1,73,내가 행복한 이유,그렉 이건,허블,"판매지수 1,788",2022년 08월
1,74,80일간의 세계일주,쥘 베른,열림원,"판매지수 1,092",2022년 06월
1,75,당신을 기다리고 있어,김보영,새파란상상 (파란미디어),"판매지수 11,112",2020년 05월
1,76,해리 오거스트의 열다섯 번째 삶,클레어 노스,미래인,판매지수 552,2018년 08월
1,77,SF 명예의 전당 1,아이작 아시모프,오멜라스,"판매지수 1,512",2010년 06월
1,78,멋진 신세계,올더스 헉슬리,서문당,판매지수 642,2023년 11월
1,79,나 같은 기계들,이언 매큐언,문학동네,"판매지수 1,284",2023년 08월
1,80,타나토노트 세트,베르나르 베르베르,열린책들,"판매지수 1,584",2000년 09월
1,81,뉴로맨서,윌리엄 깁슨,황금가지,"판매지수 2,178",2005년 05월
1,82,모든 사람에 대한 이론,이하진,열림원,판매지수 726,2024년 01월
1,83,디 임플로이,올가 라븐,다람,판매지수 372,2023년 12월
1,84,투명 공간 앨리스,로희,네오픽션,판매지수 156,2024년 01월
1,85,무뇌 변호사,신조하,네오픽션,판매지수 552,2024년 01월
1,86,당신이 보고 싶어하는 세상,장강명,문학동네,"판매지수 5,556",2023년 07월
1,87,[예스리커버] 고양이 합본판,베르나르 베르베르,열린책들,"판매지수 5,898",2023년 04월
1,88,기억 2,베르나르 베르베르,열린책들,"판매지수 1,536",2020년 05월
1,89,스텔라 오디세이 트릴로지 세트,김보영,새파란상상 (파란미디어),"판매지수 3,504",2020년 05월
1,90,죽음 2,베르나르 베르베르,열린책들,"판매지수 1,128",2019년 05월
1,91,저 이승의 선지자,김보영,아작,판매지수 750,2017년 06월
1,92,은하수를 여행하는 히치하이커를 위한 안내서 3,더글러스 애덤스,책세상,"판매지수 2,070",2004년 12월
1,93,콘택트 1,칼 에드워드 세이건,사이언스북스,"판매지수 1,548",2001년 12월
1,94,2023 제6회 한국과학문학상 수상작품집,한이솔,허블,"판매지수 1,200",2023년 05월
1,95,죽음 1,베르나르 베르베르,열린책들,"판매지수 1,014",2019년 05월
1,96,좀비 서바이벌 가이드,맥스 브룩스,황금가지,판매지수 684,2011년 10월
1,97,콘택트 2,칼 에드워드 세이건,사이언스북스,"판매지수 1,416",2001년 12월
1,98,개의 설계사,단요,아작,판매지수 600,2023년 06월
1,99,"죽음과 세금은 피할 수 없다, 드래곤 역시",홍락훈,에이플랫,판매지수 462,2023년 09월
1,100,푸른 살,이태제,북다,판매지수 432,2023년 07월
2,1,지구 생물체는 항복하라,정보라,래빗홀,"판매지수 10,866",2024년 01월
2,2,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,006",2021년 08월
2,3,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 60,555",2021년 05월
